zh_CN,Metdata,Label,pt_BR,da,th,es_MX,no,pl,vi,pt_PT,fr_CA,de,es,fr,it,ko,package,Translated,Configuration
"首选电话","CustomLabel.CEC_Primary_Phone","Primary Phone","Telefone Principal","Primære telefon","หมายเลขโทรศัพท์หลัก","Teléfono Principal","Primærtelefon","Telefon","Số điện thoại mặc định","Telefone Principal","Téléphone principal","Telefonnummer (Hauptanschluss)","Teléfono Principal","Téléphone principal","Telefono","기본 전화번호","CustomLabel$CEC_Primary_Phone","Will be Transalted","No"
"优先","CustomLabel.CEC_Priority","Priority","Prioridade","Prioritet","ลำดับความสำคัญ","Prioridad","Priorietet","Priorytet","Ưu tiên","Prioridade","Priorité","Priorität","Prioridad","Priorité","Priorità","우선 순위","CustomLabel$CEC_Priority","Will be Transalted","No"
"专业水平","CustomLabel.CEC_Proficiency_Level","PROFICIENCY LEVEL","Nível de Proficiência","færdighedsniveau","ระดับมืออาชีพ","NIVEL DE COMPETENCIA","FERDIGSHETNIVÅ","","Mức độ thành thạo","NÍVEL DE COMPETÊNCIA","NIVEAU DE COMPÉTENCE","","NIVEL DE COMPETENCIA","Niveau de compétence","Livello di competenza","레벨","CustomLabel$CEC_Proficiency_Level","Will be Transalted","No"
"队列","CustomLabel.CEC_Queue","Queue","Queue","Kø","คิว","Cola","Kø","Kolejka","Queue","Lista","File d'attente","Queue","Cola","File d'attente","Coda","대기얼","CustomLabel$CEC_Queue","Will be Transalted","No"
"责任人","CustomLabel.CEC_RESPONSIBILITY","RESPONSIBILITY","Responsabilidade","Ansvar","ความรับผิดชอบ","PROPIEDAD","ANSVAR","Właściciel","Trách nhiệm","Propriedede","RESPONSABILITÉ","VERANTWORTUNG","PROPIEDAD","RESPONSABILITÉ","PROPRIETÀ","책임","CustomLabel$CEC_RESPONSIBILITY","Will be Transalted","No"
"重新分配需要帮助的案件","CustomLabel.CEC_Reassign_AR_Case","Reassign AR Case","Redefinir Caso","Overdrag AR sag","จัดสรรเคสที่ต้องการความช่วยเหลือใหม่","Reasignar Caso Ayuda Requerida","Omfordel AR sak","Przydziel ponownie sprawę wymagającą wsparcia","Phân bổ lại case cần sự trợ giúp","Reassignar Caso AR","Réassigner la requête avec assistance requise","UE Vorgang weiterleiten","Reasignar Caso Ayuda Requerida","Réassigner une requête avec assistance requise","Riassegnare caso Assistenza Richiesta","AR 케이스 재배정하기","CustomLabel$CEC_Reassign_AR_Case","Will be Transalted","No"
"重新分配需要帮助的案件的原因","CustomLabel.CEC_Reassign_Ar_Case_Reason","Reassign AR Case Reason","Redefinir Rasão do AR do Caso","Overdrag AR sagbegrundelse","เหตุผลในการจัดสรรเคสที่ต้องการความช่วยเหลือใหม่","Motivo para Reasignar Caso AR","Omfordel AR sak begrunnelse","Powód ponownego przydzielenia sprawy wymagającej wsparcia","Phân bổ lại lý do của case cần trợ giúp","Razão para Reassignar Caso AR","Motif de réassignation de la requête avec assistance requise","UE Vorgang weiterleiten - Grund","Motivo para Reasignar Caso AR","Motif de réassignation d'une requête avec assistance requise","Motivo","AR 케이스 재배정 사유","CustomLabel$CEC_Reassign_Ar_Case_Reason","Will be Transalted","No"
"接收自动通知","CustomLabel.CEC_Receive_Automatic_Notification","Receive Automatic Notification","Receber Notificação Automática","Automatisk modagelsesnotifikation","รับการแจ้งเตือนอัตโนมัติ","Recibir Notificaciones Automáticas","Motta automatiske notifikasjoner","Klient otrzymuje automatyczne powiadomienia","Thông báo tự động cho người  nhận","Receber Notificação Automática","Recevoir notification automatique","Automatische Benachrichtigung erhalten","Recibir Notificaciones Automáticas","Recevoir notification automatique","Ricezione notifiche automatiche","자동 알림 받기","CustomLabel$CEC_Receive_Automatic_Notification","Will be Transalted","No"
"来自","CustomLabel.CEC_Received_from","Received from","Recebido de","Modatget af","ได้รับจาก","Recibido De","Motatt fra","Otrzymane od","Nhận từ","Recebido de","Reçu de","Erhalten von","Recibido De","Reçu de","Ricevuto da","발신","CustomLabel$CEC_Received_from","Will be Transalted","No"
"描述联系UPS的一方","CustomLabel.CEC_Received_from_helptext","Describes the party contacting UPS.","Descrição que houve contato com a UPS","Beskriver den part, som kontakter UPS","อธิบายถึงฝ่ายที่ติดต่อกันภายใน UPS","Indica quién se pone en contacto con UPS","Beskriv hvem som kontakter UPS","Opisuje stronę kontaktującą się z UPS","Mô tả bên liên hệ với UPS.","Descreve quem contacta com a UPS","Décrit la partie qui communique avec UPS.","Beschreibt die Partei, die UPS kontaktiert.","Indica quién se pone en contacto con UPS","Décrit la partie qui contacte UPS.","Indica chi sta contattando UPS","UPS에 연락한 당사자를 설명합니다.","CustomLabel$CEC_Received_from_helptext","Will be Transalted","No"
"收件人邮箱","CustomLabel.CEC_Recipients_Email","Recipient's Email","e-mail de destinatário","Modtagers e-mail","อีเมลของผู้รับ","Email del Destinatario","Mottagers Email","Adres e-mail odbiorcy","Thư điện tử của người nhận","Email de Destinatário","Adresse de courriel du destinataire","E-Mail Adresse des Empfängers","Email del Destinatario","Adresse E-mail du destinataire","Email del destinatario","받는 사람 이메일","CustomLabel$CEC_Recipients_Email","Will be Transalted","No"
"相关案件","CustomLabel.CEC_Related_Cases","Related Cases","Caso Relacionado","Relaterede sager","เคสที่เกี่ยวข้อง","Casos Relacionados","Relaterte saker","Powiązane sprawy","Các case liên quan","Caso Relacionado","Requêtes associées","Zugeordnete Vorgänge","Casos Relacionados","Requêtes associées","Casi correlati","관련 케이스","CustomLabel$CEC_Related_Cases","Will be Transalted","No"
"移除","CustomLabel.CEC_Remove","Remove","Remover","Fjern","ลบ","Remover","Fjern","Usuń","Gỡ bỏ","Remover","Retirer","Entfernen","Quitar","Retirer","Rimuovi","삭제","CustomLabel$CEC_Remove","Will be Transalted","No"
"移除社交媒体","CustomLabel.CEC_Remove_Social_Persona","Remove Media Handle","Remover Gestor das Redes Sociais","Fjern medie håndtering","ลบโซเชียลมีเดีย","Eliminar el Manejo de Redes Sociales","Fjern sosialemedia navn","Usuń połączone konto w mediach społecznościowych","Gỡ xử lý phương tiện truyền thông","Remover Gestor das Redes Sociais","Supprimer le compte","Social Media Benutzernamen löschen","Eliminar la Gestión de Redes Sociales","Supprimer  les comptes réseaux sociaux","Rimuovi gestione Social Media","미디어 관리 삭제","CustomLabel$CEC_Remove_Social_Persona","Will be Transalted","No"
"责任要求","CustomLabel.CEC_Request_Responsibility","Request Responsibility","Solicitação de Responsábilidade","Anmod ansvar","การขอกำหนดความรับผิดชอบ","Solicitar Propiedad","Forespør ansvar","Poproś o zmianę właściciela","Yêu cầu trách nhiệm","Solicitar a Propriedede","Demander la responsabilité","Verantwortung anfordern","Solicitar Propiedad","Demander la responsabilité","Richiedi proprietà","책임 요청","CustomLabel$CEC_Request_Responsibility","Will be Transalted","No"
"责任要求？请添加你的队列，点击提交来确认","CustomLabel.CEC_Request_Responsibility_Confirmation","Request Responsibility? Please add your queue and click Submit to confirm","Solicitação de Responsábilidade? Por gentileza inserir queue e clique em Submiter para confirmar","Anmod Ansvar? Venligst tilføj din kø og tryk indsend for at bekræfte","ต้องการกำหนดความรับผิดชอบหรือไม่ โปรดเพิ่มคิวของคุณ แล้วคลิกส่งเพื่อยืนยัน","¿Solicitas la Propiedad? Añade tu cola y haz clic en Enviar para confirmar","Forespør ansvar? Vennligst legg det i køen din og trykk "Send" for å bekrefte","Prosisz o zmianę właściciela? Dodaj swoją kolejkę i kliknij Zatwierdź","Yêu cầu đảm nhiệm? Vui lòng thêm vào Queue của bạn và nhấp vào Gửi để xác nhận","Solicitar Propriedade? Por favor inserir uma lista e clique em Submeter para confirmar","Demande de responsabilité? Veuillez ajouter votre file d'attente et cliquez sur Soumettre pour confirmer.","Verantwortung anfordern? Bitte füge deine Queue hinzu und klicke auf Senden zum bestätigen","¿Solicitas la Propiedad? Añade tu cola y haz clic en Enviar para confirmar","Demande de responsabilité? Veuillez ajouter votre file d'attente et cliquez sur Soumettre pour confirmer.","Richiedi proprietà? Aggiungi la tua coda e clicca Inoltra per confermare","책임을 요청 하시겠습니까? 대기열을 추가하고 제출을 클릭하십시오.","CustomLabel$CEC_Request_Responsibility_Confirmation","Will be Transalted","No"
"解决方案备注","CustomLabel.CEC_Resolution_Comments","Resolution Comments","Comentários de Resolução","Kommentarer til afgørelsen","ความคิดเห็นในการแก้ปัญหา","Comentarios sobre la Resolución","Kommentarer om avgjørelsen","Komentarze końcowe (rozwiązanie)","Nhận xét về giải pháp","Comentários de Resolução","Commentaires sur la résolution","Kommentare zur Lösung","Comentarios sobre la Resolución","Commentaires sur la résolution","Commenti sulla risoluzione","해결책 관련 코멘트","CustomLabel$CEC_Resolution_Comments","Will be Transalted","No"
"与来电者位置相同","CustomLabel.CEC_Same_as_Caller_Location","Same as Caller Location","Mesma localização do cliente em linha","Samme som kalderens lokation","เช่นเดียวกับสถานที่ของผู้โทร","Misma Ubicación del Cliente que llama","Samme som innringers lokasjon","Lokalizacja jest taka sama, jak dzwoniącego","Cùng vị trí người gọi","Mesma localização do cliente em linha","Même que le lieu de l'appelant","Gleiche Adresse wie Anruferinformation","Similar a la Ubicación del Cliente que llama","Même que le lieu de l'appelant","Uguale all'indirizzo del chiamante","발신자 위치와 동일","CustomLabel$CEC_Same_as_Caller_Location","Will be Transalted","No"
"保存","CustomLabel.CEC_Save","Save","Salvar","Gem","บันทึก","Guardar","Lagre","Zapisz","Lưu","Guardar","Enregistrer","Speichern","Guardar","Enregistrer","Salva","저장","CustomLabel$CEC_Save","Will be Transalted","No"
"搜索","CustomLabel.CEC_Search_Button","Search","Buscar","Søg","ค้นหา","Buscar","Søk","Wyszukaj","Tìm kiếm","Pesquisar","Rechercher","Suche","Buscar","Chercher","Cerca","검색","CustomLabel$CEC_Search_Button","Will be Transalted","No"
"搜索条件","CustomLabel.CEC_Search_Criteria","Search Criteria","Critério de Busca","Søgekriterier","เกณฑ์การค้นหา","Criterio de Búsqueda","Søkekriteria","Kryteria wyszukiwania","Yếu tố tìm kiếm","Critério de Pesquisa","Critères de recherche","Suchkriterien","Criterio de Búsqueda","Critères de recherche","Criteri di ricerca","검색 조건","CustomLabel$CEC_Search_Criteria","Will be Transalted","No"
"搜索","CustomLabel.CEC_Search_PlaceHolder","search..","busca...","søg...","ค้นหา..","Buscar...","søk...","Wyszukaj","tìm kiếm ....","Pesquisa","rechercher...","Suche..","Buscar...","rechercher...","Cerca...","검색","CustomLabel$CEC_Search_PlaceHolder","Will be Transalted","No"
"搜索队列","CustomLabel.CEC_Search_Queue","Search Queue...","Buscar Queue","Søg kø","ค้นหาคิว ..","Búsqueda de Cola...","Søk i jø","Wyszukaj","Tìm queue","Pesquisa de Lista ..","Parcourir les files d'attente...","Queue Suche...","Búsqueda de Cola...","Parcourir les files d'attente...","Cerca coda...","대기열 검색","CustomLabel$CEC_Search_Queue","Will be Transalted","No"
"搜索用户","CustomLabel.CEC_Search_User_Placeholder","Search User ..","buscar usuários","søg bruger","ค้นหาผู้ใช้","Bucar Usuario","søk bruker","Wyszukaj użytkownika","Tìm kiếm người sử dụng","Pesquisar Utilizador","Rechercher un utilisateur","Benutzer suchen...","Búsqueda de Usuario","Recherche utilisateur","Ricerca utente","사용자 검색","CustomLabel$CEC_Search_User_Placeholder","Will be Transalted","No"
"用..搜索","CustomLabel.CEC_Search_by","Search by..","Buscar por...","Søg efter...","ค้นหาโดย..","Buscar por...","Søk med...-","Wyszukaj po...","Tìm kiếm thông qua....","Pesquisar por...","Rechercher par...","Suche anhand...","Buscar por...","Chercher par...","Ricerca con..","…(으)로 검색","CustomLabel$CEC_Search_by","Will be Transalted","No"
"用账号或者账号名称搜索联系人","CustomLabel.CEC_Search_for_Contacts_by_Account_No_or_Account_Name","Search for Contacts by Account No. or Account Name","Buscar Contatos pelo Nº da Conta ou Nome da Conta","Søg efter Kontakter med Kontonummer eller Kontonavn","ค้นหา ผู้ติดต่อ ตามหมายเลขสมาชิกลูกค้า หรือชื่อลูกค้า","Buscá Contactos por Número de Cuenta o Nombre de la Cuenta","Søk etter kontakter med kundenummer eller kontonavn","Wyszukaj kontakt używając numeru klienta lub nazwy","Tìm kiếm liên lạc bằng số tài khoản hay tên tài khoản","Pesquisar Contacto por Número de Conta ou Nome da Conta","Recherche de contacts par numéro ou nom de compte","Suche nach Kontakten anhand Kundennummer oder Kundenname","Buscar Contactos por Número de Cuenta o Nombre de la Cuenta","Recherche de contacts par numéro ou nom de compte","Cerca contatti con Numero o Nome del codice","계정 번호나 계정 이름으로 연락처 검색","CustomLabel$CEC_Search_for_Contacts_by_Account_No_or_Account_Name","Will be Transalted","No"
